Codigo,Nome,Valor
30000,MINISTERIO DA JUSTICA E SEGURANÇA PUBLICA,3202180.31
26000,MINISTERIO DA EDUCACAO,1563113.03
52000,MINISTERIO DA DEFESA,1556620.12
36000,MINISTERIO DA SAUDE,984504.46
25000,MINISTERIO DA FAZENDA,928828.15
00000,DETALHAMENTO DAS INFORMAÇÕES NÃO DISPONÍVEL.,813465.62
22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",700643.26
39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",655326.13
44000,MINISTERIO DO MEIO AMBIENTE,597049.91
20113,"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",586326.63
20000,PRESIDENCIA DA REPUBLICA,540756.01
55000,MINISTERIO DO DESENVOLVIMENTO SOCIAL,459382.01
40000,MINISTERIO DO TRABALHO,287163.85
32000,MINISTERIO DE MINAS E ENERGIA,151591.75
28000,"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",113226.98
54000,MINISTERIO DO TURISMO,99164.11
53000,MINISTERIO DA INTEGRACAO NACIONAL,91038.47
24000,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",77150.68
37000,"MINIST. DA TRANSPARENCIA, FISCALIZACAO E CGU",62312.44
42000,MINISTERIO DA CULTURA,48941.22
51000,MINISTERIO DO ESPORTE,33449.79
56000,MINISTERIO DAS CIDADES,26769.63
35000,MINISTERIO DAS RELACOES EXTERIORES,4168.51
