sigla,nome,nome2
AC,Acre,ACRE
AL,Alagoas,ALAGOAS
AP,Amapá,AMAPA
AM,Amazonas,AMAZONAS
BA,Bahia,BAHIA
CE,Ceará,CEARA
DF,Distrito Federal,DISTRITO FEDERAL
ES,Espírito Santo,ESPIRITO SANTO
GO,Goiás,GOIAS
MA,Maranhão,MARANHAO
MT,Mato Grosso,MATO GROSSO
MS,Mato Grosso do Sul,MATO GROSSO DO SUL
MG,Minas Gerais,MINAS GERAIS
PR,Paraná,PARANA
PB,Paraíba,PARAIBA
PA,Pará,PARA
PE,Pernambuco,PERNAMBUCO
PI,Piauí,PIAUI
RN,Rio Grande do Norte,RIO GRANDE DO NORTE
RS,Rio Grande do Sul,RIO GRANDE DO SUL
RJ,Rio de Janeiro,RIO DE JANEIRO
RO,Rondônia,RONDONIA
RR,Roraima,RORAIMA
SC,Santa Catarina,SANTA CATARINA
SE,Sergipe,SERGIPE
SP,São Paulo,SAO PAULO
TO,Tocantins,TOCANTINS

