UF,Estado,População censo 2010,População estimada 2017,Matrículas no ensino fundamental 2015,Rendimento mensal domiciliar per capita 2016,IDH 2010
AC,Acre,733559,829619,162822,761,0.663
AL,Alagoas,3120494,3375823,523339,662,0.631
AP,Amapá,669526,797722,136881,881,0.708
AM,Amazonas,3483985,4063614,723437,739,0.674
BA,Bahia,14016906,15344447,2123425,773,0.660
CE,Ceará,8452381,9020460,1272352,751,0.682
DF,Distrito Federal,2570160,3039444,390079,2351,0.824
ES,Espírito Santo,3514952,4016356,509074,1157,0.740
GO,Goiás,6003788,6778772,886246,1140,0.735
MA,Maranhão,6574789,7000229,1235595,575,0.639
MT,Mato Grosso,3035122,3344544,461713,1139,0.725 
MS,Mato Grosso do Sul,2449024,2713147,400432,1283,0.729
MG,Minas Gerais,19597330,21119536,2657185,1168,0.731
PR,Paraná,10444526,11320892,1445820,1398,0.749
PB,Paraíba,3766528,4025558,577768,790,0.658
PA,Pará,7581051,8366628,1475087,708,0.646
PE,Pernambuco,8796448,9473266,1324537,872,0.673
PI,Piauí,3118360,3219257,506583,747,0.646
RN,Rio Grande do Norte,3168027,3507003,486560,919,0.684
RS,Rio Grande do Sul,10693929,11322895,1330075,1554,0.746
RJ,Rio de Janeiro,15989929,16718956,2064316,1429,0.761
RO,Rondônia,1562409,1805788,276904,901,0.690
RR,Roraima,450479,522636,91651,1068,0.707
SC,Santa Catarina,6248436,7001161,837814,1458,0.774 
SE,Sergipe,2068017,2288116,343734,878,0.665
SP,São Paulo,41262199,45094866,5330730,1723,0.783
TO,Tocantins,1383445,1550194,251179,863,0.699

